No.,Title,Artist(s)
1,"""Love Yourself""",Justin Bieber
2,"""Sorry""",Justin Bieber
3,"""One Dance""",Drake featuring Wizkid and Kyla
4,"""Work""",Rihanna featuring Drake
5,"""Stressed Out""",Twenty One Pilots
6,"""Panda""",Desiigner
7,"""Hello""",Adele
8,"""Don't Let Me Down""",The Chainsmokers featuring Daya
9,"""Can't Stop the Feeling!""",Justin Timberlake
10,"""Closer""",The Chainsmokers featuring Halsey
11,"""Cheap Thrills""",Sia featuring Sean Paul
12,"""7 Years""",Lukas Graham
13,"""Needed Me""",Rihanna
14,"""My House""",Flo Rida
15,"""I Took a Pill in Ibiza""",Mike Posner
16,"""Work from Home""",Fifth Harmony featuring Ty Dolla $ign
17,"""This Is What You Came For""",Calvin Harris featuring Rihanna
18,"""Cake by the Ocean""",DNCE
19,"""Me, Myself & I""",G-Eazy and Bebe Rexha
20,"""Ride""",Twenty One Pilots
21,"""Heathens""",Twenty One Pilots
22,"""Pillowtalk""",Zayn
23,"""Stitches""",Shawn Mendes
24,"""Hotline Bling""",Drake
25,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ
26,"""Send My Love (To Your New Lover)""",Adele
27,"""Roses""",The Chainsmokers featuring Rozes
28,"""Treat You Better""",Shawn Mendes
29,"""Too Good""",Drake featuring Rihanna
30,"""Low Life""",Future featuring The Weeknd
31,"""What Do You Mean?""",Justin Bieber
32,"""The Hills""",The Weeknd
33,"""Just Like Fire""",Pink
34,"""Broccoli""",DRAM featuring Lil Yachty
35,"""Don't""",Bryson Tiller
36,"""Dangerous Woman""",Ariana Grande
37,"""Jumpman""",Drake and Future
38,"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien
39,"""Here""",Alessia Cara
40,"""Same Old Love""",Selena Gomez
41,"""Controlla""",Drake
42,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend
43,"""One Call Away""",Charlie Puth
44,"""Let It Go""",James Bay
45,"""No""",Meghan Trainor
46,"""Never Forget You""",Zara Larsson and MNEK
47,"""Let Me Love You""",DJ Snake featuring Justin Bieber
48,"""Don't Mind""",Kent Jones
49,"""H.O.L.Y.""",Florida Georgia Line
50,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez
51,"""Into You""",Ariana Grande
52,"""Gold""",Kiiara
53,"""Exchange""",Bryson Tiller
54,"""679""",Fetty Wap featuring Remy Boyz
55,"""Oui""",Jeremih
56,"""Hands to Myself""",Selena Gomez
57,"""2 Phones""",Kevin Gates
58,"""Starboy""",The Weeknd featuring Daft Punk
59,"""For Free""",DJ Khaled featuring Drake
60,"""Never Be Like You""",Flume featuring Kai
61,"""In the Night""",The Weeknd
62,"""Me Too""",Meghan Trainor
63,"""Ex's & Oh's""",Elle King
64,"""Die a Happy Man""",Thomas Rhett
65,"""White Iverson""",Post Malone
66,"""Close""",Nick Jonas featuring Tove Lo
67,"""Unsteady""",X Ambassadors
68,"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla $ign featuring X Ambassadors"
69,"""Down in the DM""",Yo Gotti featuring Nicki Minaj
70,"""Luv""",Tory Lanez
71,"""Sorry""",Beyoncé
72,"""Can't Feel My Face""",The Weeknd
73,"""Hymn for the Weekend""",Coldplay
74,"""Say It""",Tory Lanez
75,"""Antidote""",Travis Scott
76,"""Lost Boy""",Ruth B
77,"""Side to Side""",Ariana Grande featuring Nicki Minaj
78,"""Sit Still, Look Pretty""",Daya
79,"""Wildest Dreams""",Taylor Swift
80,"""Middle""",DJ Snake featuring Bipolar Sunshine
81,"""On My Mind""",Ellie Goulding
82,"""Pop Style""",Drake featuring The Throne
83,"""When We Were Young""",Adele
84,"""Hide Away""",Daya
85,"""Lean On""",Major Lazer and DJ Snake featuring MØ
86,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello
87,"""All the Way Up""","Fat Joe, Remy Ma and Jay-Z featuring French Montana and Infared"
88,"""Watch Me""",Silentó
89,"""Back to Sleep""",Chris Brown
90,"""No Limit""",Usher featuring Young Thug
91,"""Cut It""",O.T. Genasis featuring Young Dolph
92,"""Really Really""",Kevin Gates
93,"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap
94,"""Starving""",Hailee Steinfeld and Grey featuring Zedd
95,"""Adventure of a Lifetime""",Coldplay
96,"""Humble and Kind""",Tim McGraw
97,"""Wicked""",Future
98,"""Tiimmy Turner""",Desiigner
99,"""See You Again""",Wiz Khalifa featuring Charlie Puth
100,"""Perfect""",One Direction
